tkt_id,player_id,ticket_no,tkt_amt,purchase_time,win_amt,channel_id,channel_name,purchase_trans_id,win_trans_id
2063979,24081,2.06398E+11,40,45:39.3,0,2,WEB,1314406,1314406
2063980,24081,2.06398E+11,40,45:39.3,100,2,WEB,1314408,1370833
2063981,24081,2.06398E+11,40,45:39.4,100,2,WEB,1314410,1370834
2063982,24081,020639820095,40,45:39.4,0,2,WEB,1314412,1314412
2064955,37387,2.06496E+11,40,59:03.4,100,2,WEB,1315473,1371001
2064956,37387,2.06496E+11,40,59:03.4,100,2,WEB,1315474,1371002
2065828,24679,2.06583E+11,40,09:08.6,0,2,WEB,1316338,1316338
2065830,24679,2.06583E+11,40,09:13.0,0,2,WEB,1316339,1316339
2065834,24679,2.06583E+11,40,09:18.2,100,2,WEB,1316343,1371162
2066082,37728,020660820080,40,12:24.4,0,2,WEB,1316567,1316567
2066933,37692,020669330084,40,23:13.6,0,2,WEB,1317425,1317425
2066934,37692,2.06693E+11,40,23:13.6,100,2,WEB,1317426,1371323
2066935,37692,2.06694E+11,40,23:13.7,100,2,WEB,1317427,1371324
2067068,24679,020670680096,40,25:25.8,0,2,WEB,1317549,1317549
2067074,37698,2.06707E+11,40,25:32.0,100,2,WEB,1317560,1371348
2067989,37647,2.06799E+11,40,36:48.0,0,2,WEB,1318380,1318380
2068021,37647,2.06802E+11,40,37:33.7,0,2,WEB,1318474,1318474
2068695,37334,2.0687E+11,40,45:34.3,0,2,WEB,1319060,1319060
2068696,37334,2.0687E+11,40,45:34.3,0,2,WEB,1319061,1319061
2068697,37334,2.0687E+11,40,45:34.4,100,2,WEB,1319062,1371590
2068698,37334,020686980098,40,45:34.4,0,2,WEB,1319063,1319063
2068699,37334,2.0687E+11,40,45:34.5,0,2,WEB,1319064,1319064
2069303,37393,2.0693E+11,40,54:11.9,0,2,WEB,1319715,1319715
2069465,37179,2.06947E+11,40,56:07.7,100,2,WEB,1319848,1371687
2069470,37179,2.06947E+11,40,56:13.0,0,2,WEB,1319854,1319854
2069527,37669,2.06953E+11,40,57:14.1,0,2,WEB,1319945,1319945
2069873,37252,2.06987E+11,40,02:26.7,0,2,WEB,1320314,1320314
2069879,37252,2.06988E+11,40,02:31.5,0,2,WEB,1320325,1320325
2069969,37252,2.06997E+11,40,03:33.6,0,2,WEB,1320411,1320411
2070196,37105,2.0702E+11,40,06:01.9,0,2,WEB,1320583,1320583
2070199,37126,020701990085,40,06:13.9,0,2,WEB,1320591,1320591
2070391,37301,2.07039E+11,40,08:58.4,0,2,WEB,1320796,1320796
2071067,37158,2.07107E+11,40,17:39.2,0,2,WEB,1321497,1321497
2072887,25064,2.07289E+11,40,37:21.3,0,2,WEB,1322949,1322949
2072888,25064,2.07289E+11,40,37:21.3,0,2,WEB,1322951,1322951
2072907,25064,2.07291E+11,40,37:43.2,0,2,WEB,1323008,1323008
2072908,37322,2.07291E+11,40,37:44.9,0,2,WEB,1323010,1323010
2072909,37322,2.07291E+11,40,37:44.9,100,2,WEB,1323012,1372123
2072917,37623,2.07292E+11,40,37:56.3,0,2,WEB,1323023,1323023
2073025,24081,2.07303E+11,40,39:54.9,0,2,WEB,1323149,1323149
2073026,24081,2.07303E+11,40,39:55.0,100,2,WEB,1323150,1372139
2073027,24081,2.07303E+11,40,39:55.0,0,2,WEB,1323151,1323151
2073042,37198,2.07304E+11,40,40:07.8,0,2,WEB,1323165,1323165
2073516,37207,2.07352E+11,40,45:39.0,0,2,WEB,1323563,1323563
2073908,37520,2.07391E+11,40,52:59.2,0,2,WEB,1324047,1324047
2074718,37405,2.07472E+11,40,03:41.4,100,2,WEB,1324870,1372375
2074826,37405,2.07483E+11,40,04:51.4,100,2,WEB,1324934,1372385
2076430,37329,2.07643E+11,40,24:24.9,0,2,WEB,1326281,1326281
2076750,37759,2.07675E+11,40,28:01.5,0,2,WEB,1326577,1326577
2076927,37291,020769270076,40,29:46.6,0,2,WEB,1326666,1326666
2079648,37455,2.07965E+11,40,04:30.6,0,2,WEB,1328813,1328813
2080917,25181,2.08092E+11,40,20:00.4,0,2,WEB,1329749,1329749
2081191,25156,2.08119E+11,40,23:12.1,0,2,WEB,1329951,1329951
2081931,37611,2.08193E+11,40,32:13.2,100,2,WEB,1330443,1373213
2082418,37116,2.08242E+11,40,37:31.0,0,2,WEB,1330722,1330722
2082738,37585,2.08274E+11,40,40:58.4,0,2,WEB,1330973,1330973
2082739,37585,2.08274E+11,40,40:58.4,0,2,WEB,1330974,1330974
2082740,37585,2.08274E+11,40,40:58.5,0,2,WEB,1330975,1330975
2082741,37585,020827410086,40,40:58.6,0,2,WEB,1330976,1330976
2082742,37585,2.08274E+11,40,40:58.6,100,2,WEB,1330977,1373289
2083199,37752,2.0832E+11,40,46:30.6,0,2,WEB,1331281,1331281
2083200,37752,2.0832E+11,40,46:30.7,0,2,WEB,1331285,1331285
2083201,37752,2.0832E+11,40,46:30.7,0,2,WEB,1331289,1331289
2083202,37752,2.0832E+11,40,46:30.8,0,2,WEB,1331290,1331290
2083370,37752,2.08337E+11,40,48:56.3,0,2,WEB,1331449,1331449
2085096,37498,2.0851E+11,40,10:26.9,0,2,WEB,1332730,1332730
2085968,37618,020859680074,40,19:58.3,0,2,WEB,1333262,1333262
2087150,37559,020871500031,40,32:07.8,100,2,WEB,1333897,1373719
2088886,37634,2.08889E+11,40,51:01.5,0,2,WEB,1334999,1334999
2088887,37634,2.08889E+11,40,51:01.5,0,2,WEB,1335003,1335003
2089115,37337,020891150023,40,54:02.2,0,2,WEB,1335187,1335187
2089835,37053,2.08984E+11,40,02:49.4,0,2,WEB,1335695,1335695
2089916,37296,2.08992E+11,40,03:53.9,0,2,WEB,1335751,1335751
2089980,37296,2.08998E+11,40,04:20.1,0,2,WEB,1335773,1335773
2090018,37366,2.09002E+11,40,04:47.3,100,2,WEB,1335820,1373982
2090291,37296,2.09029E+11,40,08:47.2,0,2,WEB,1336009,1336009
2091338,37454,2.09134E+11,40,18:40.5,0,2,WEB,1336557,1336557
2093066,36954,2.09307E+11,40,37:54.8,0,2,WEB,1337620,1337620
2093724,36954,2.09372E+11,40,44:25.7,0,2,WEB,1337919,1337919
2095539,37293,2.09554E+11,40,04:53.7,0,2,WEB,1338965,1338965
2096513,37016,2.09651E+11,40,15:13.2,0,2,WEB,1339453,1339453
2096691,37031,2.09669E+11,40,17:36.2,0,2,WEB,1339563,1339563
2098556,37637,2.09856E+11,40,39:42.8,100,2,WEB,1340722,1374756
2098557,37637,020985570076,40,39:42.9,100,2,WEB,1340723,1374757
2099423,37142,2.09942E+11,40,50:36.2,0,2,WEB,1341328,1341328
2100708,27875,2.10071E+11,40,04:21.2,100,2,WEB,1341978,1374949
2100722,27875,2.10072E+11,40,04:41.0,0,2,WEB,1341986,1341986
2100955,37126,2.10096E+11,40,07:22.5,0,2,WEB,1342117,1342117
2101654,37707,2.10165E+11,40,13:55.1,100,2,WEB,1342453,1375022
2101826,37707,2.10183E+11,40,15:16.8,0,2,WEB,1342513,1342513
2102736,36954,2.10274E+11,40,24:26.8,0,2,WEB,1342929,1342929
2103645,37504,2.10365E+11,40,34:01.7,0,2,WEB,1343402,1343402
2104038,37661,2.10404E+11,40,38:52.2,100,2,WEB,1343619,1375215
2104885,37521,2.10489E+11,40,50:28.2,0,2,WEB,1344212,1344212
2104886,37521,2.10489E+11,40,50:28.3,0,2,WEB,1344214,1344214
2105349,37521,2.10535E+11,40,55:42.4,100,2,WEB,1344427,1375378
2105862,37551,2.10586E+11,40,03:49.3,0,2,WEB,1344776,1344776
2107334,37437,2.10733E+11,40,20:37.3,0,2,WEB,1345599,1345599
2109522,37304,021095220047,40,43:25.6,0,2,WEB,1346983,1346983
2109672,37707,2.10967E+11,40,45:19.2,0,2,WEB,1347083,1347083
2110204,37602,2.1102E+11,40,50:18.4,100,2,WEB,1347450,1375871
2110808,37602,2.11081E+11,40,55:37.0,0,2,WEB,1347785,1347785
2111394,37428,2.11139E+11,40,01:28.3,100,2,WEB,1348181,1375991
2111395,37428,2.1114E+11,40,01:28.3,100,2,WEB,1348182,1375992
2112270,37759,2.11227E+11,40,10:20.9,0,2,WEB,1348685,1348685
2112384,37348,2.11238E+11,40,11:17.9,0,2,WEB,1348774,1348774
2112420,37348,2.11242E+11,40,11:25.4,0,2,WEB,1348780,1348780
2113087,37770,002113087008,40,17:32.4,0,2,WEB,1349131,1349131
2113088,37770,2.11309E+11,40,17:32.5,100,2,WEB,1349132,1376148
2113089,37770,2.11309E+11,40,17:32.6,0,2,WEB,1349133,1349133
